"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97","rejects update/delete of an article by a non-owner (IDOR) (Qase ID: 44)","contract","2026-07-19","passed","2026-07-19","Conduit articles authorization (contract)","contract/conduit/articles-idor.contract.spec.ts","",""
"","540","complete a todo (Qase ID: 3)","ui-chromium","2026-07-19","passed","2026-07-19","TodoMVC","ui/todo.spec.ts","",""
"","19","fetches a seeded user (Qase ID: 21)","contract","2026-07-19","passed","2026-07-19","Users API contract (stub server)","contract/users.contract.spec.ts","",""
"","60","creates user and returns generated id (Qase ID: 19)","contract","2026-07-19","passed","2026-07-19","Users API contract (stub server)","contract/users.contract.spec.ts","",""
"","424","todo state is consistent across views (Qase ID: 8)","ui-chromium","2026-07-19","passed","2026-07-19","TodoMVC","ui/todo.spec.ts","",""
"","533","active count decreases after completing (Qase ID: 4)","ui-chromium","2026-07-19","passed","2026-07-19","TodoMVC","ui/todo.spec.ts","",""
"","537","filter completed todos (Qase ID: 6)","ui-chromium","2026-07-19","passed","2026-07-19","TodoMVC","ui/todo.spec.ts","",""
"","28","rejects user creation with per-field validation errors (Qase ID: 25)","contract","2026-07-19","passed","2026-07-19","Users API contract (stub server)","contract/users.contract.spec.ts","",""
"","15","reports every required field for an empty payload (Qase ID: 26)","contract","2026-07-19","passed","2026-07-19","Users API contract (stub server)","contract/users.contract.spec.ts","",""
"","9","rejects malformed email with a format error (Qase ID: 27)","contract","2026-07-19","passed","2026-07-19","Users API contract (stub server)","contract/users.contract.spec.ts","",""
"","24","throws ApiError with status 404 for unknown user (Qase ID: 24)","contract","2026-07-19","passed","2026-07-19","Users API contract (stub server)","contract/users.contract.spec.ts","",""
"","16","returns 404 response for unknown user without throwing (Qase ID: 28)","contract","2026-07-19","passed","2026-07-19","Users API contract (stub server)","contract/users.contract.spec.ts","",""
"","32","created user is retrievable afterwards (Qase ID: 23)","contract","2026-07-19","passed","2026-07-19","Users API contract (stub server)","contract/users.contract.spec.ts","",""
"","1413","populated list has no detectable a11y violations (Qase ID: 13)","ui-a11y","2026-07-19","passed","2026-07-19","TodoMVC accessibility","a11y/todo.a11y.spec.ts","",""
"","551","filter active todos (Qase ID: 5)","ui-chromium","2026-07-19","passed","2026-07-19","TodoMVC","ui/todo.spec.ts","",""
"","17","returns a non-empty users list (Qase ID: 22)","contract","2026-07-19","passed","2026-07-19","Users API contract (stub server)","contract/users.contract.spec.ts","",""
"","332","app stays functional when third-party requests are blocked (Qase ID: 9)","ui-chromium","2026-07-19","passed","2026-07-19","TodoMVC","ui/todo.spec.ts","",""
"","4","admin auth","setup-auth-admin","2026-07-19","passed","2026-07-19","","auth/admin.setup.ts","",""
"","1288","empty app has no detectable a11y violations (Qase ID: 12)","ui-a11y","2026-07-19","passed","2026-07-19","TodoMVC accessibility","a11y/todo.a11y.spec.ts","",""
"","35","response payload satisfies the user schema contract (Qase ID: 20)","contract","2026-07-19","passed","2026-07-19","Users API contract (stub server)","contract/users.contract.spec.ts","",""
"","566","add multiple todos (Qase ID: 2)","ui-chromium","2026-07-19","passed","2026-07-19","TodoMVC","ui/todo.spec.ts","",""
"","581","clear completed todos (Qase ID: 7)","ui-chromium","2026-07-19","passed","2026-07-19","TodoMVC","ui/todo.spec.ts","",""
"","545","add single todo (Qase ID: 1)","ui-chromium","2026-07-19","passed","2026-07-19","TodoMVC","ui/todo.spec.ts","",""
